x,Curve1
19.864,116.141
34.4295,154.236
36.2105,50.3724
37.7776,88.7139
46.3018,2.53706
51.1871,175.205
59.1517,100.991
60.2644,81.4161
67.8277,93.9384
69.252,47.1738
77.8642,82.5379
80.2711,102.663
103.075,64.3694
114.894,128.562
122.79,100.027
