x,Curve1
9.31953,318.046
30.673,153.555
43.093,415.978
49.3667,253.394
76.8312,65.3235
82.2077,448.899
90.7495,302.8
105.935,229.652
130.18,147.509
130.758,263.827
148.066,282.84
174.503,246.031
213.782,191.192
236.903,354.508
264.149,281.451
